Caption,Name,Description,InstallSource
Python 3.9.7 Executables (64-bit),Python 3.9.7 Executables (64-bit),Python 3.9.7 Executables (64-bit),C:\Windows\Installer\10d7716.msi
Python 3.9.7 pip Bootstrap (64-bit),Python 3.9.7 pip Bootstrap (64-bit),Python 3.9.7 pip Bootstrap (64-bit),C:\Windows\Installer\10d7734.msi
Python 3.9.7 Development Libraries (64-bit),Python 3.9.7 Development Libraries (64-bit),Python 3.9.7 Development Libraries (64-bit),C:\Windows\Installer\10d7711.msi
Python 3.9.7 Documentation (64-bit),Python 3.9.7 Documentation (64-bit),Python 3.9.7 Documentation (64-bit),C:\Windows\Installer\10d7725.msi
Python 3.9.7 Core Interpreter (64-bit),Python 3.9.7 Core Interpreter (64-bit),Python 3.9.7 Core Interpreter (64-bit),C:\Windows\Installer\10d770c.msi
Python 3.9.7 Utility Scripts (64-bit),Python 3.9.7 Utility Scripts (64-bit),Python 3.9.7 Utility Scripts (64-bit),C:\Windows\Installer\10d772a.msi
Python 3.9.7 Tcl/Tk Support (64-bit),Python 3.9.7 Tcl/Tk Support (64-bit),Python 3.9.7 Tcl/Tk Support (64-bit),C:\Windows\Installer\10d772f.msi
Python 3.9.7 Test Suite (64-bit),Python 3.9.7 Test Suite (64-bit),Python 3.9.7 Test Suite (64-bit),C:\Windows\Installer\10d7720.msi
Python 3.9.7 Standard Library (64-bit),Python 3.9.7 Standard Library (64-bit),Python 3.9.7 Standard Library (64-bit),C:\Windows\Installer\10d771b.msi
Пакет нацеливания Microsoft .NET Framework 4.7.2 (Русский),Пакет нацеливания Microsoft .NET Framework 4.7.2 (Русский),Пакет нацеливания Microsoft .NET Framework 4.7.2 (Русский),C:\Windows\Installer\1c4b160.msi
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.32.31332,Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.32.31332,Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.32.31332,C:\Windows\Installer\1c4b185.msi
Microsoft Windows Desktop Runtime - 6.0.7 (x64),Microsoft Windows Desktop Runtime - 6.0.7 (x64),Microsoft Windows Desktop Runtime - 6.0.7 (x64),C:\Windows\Installer\1c4b207.msi
Пакет нацеливания Microsoft .NET Framework 4.8 (Русский),Пакет нацеливания Microsoft .NET Framework 4.8 (Русский),Пакет нацеливания Microsoft .NET Framework 4.8 (Русский),C:\Windows\Installer\1db53ab.msi
Microsoft.NET.Sdk.Maui.Manifest-6.0.300,Microsoft.NET.Sdk.Maui.Manifest-6.0.300,Microsoft.NET.Sdk.Maui.Manifest-6.0.300,C:\Windows\Installer\1cfeafd.msi
Целевой пакет Microsoft .NET Framework 4.6.2 (Русский),Целевой пакет Microsoft .NET Framework 4.6.2 (Русский),Целевой пакет Microsoft .NET Framework 4.6.2 (Русский),C:\Windows\Installer\1db53dd.msi
Python 3.10.5 Utility Scripts (64-bit),Python 3.10.5 Utility Scripts (64-bit),Python 3.10.5 Utility Scripts (64-bit),C:\Windows\Installer\ade9be2.msi
Microsoft .NET Framework 4.7.1 Doc Redirected Targeting Pack (ENU) (русский),Microsoft .NET Framework 4.7.1 Doc Redirected Targeting Pack (ENU) (русский),Microsoft .NET Framework 4.7.1 Doc Redirected Targeting Pack (ENU) (русский),C:\Windows\Installer\1db53f1.msi
Microsoft .NET Host - 6.0.7 (x64),Microsoft .NET Host - 6.0.7 (x64),Microsoft .NET Host - 6.0.7 (x64),C:\Windows\Installer\1c4b220.msi
Пакет SDK для Microsoft .NET Framework 4.8 (Русский),Пакет SDK для Microsoft .NET Framework 4.8 (Русский),Пакет SDK для Microsoft .NET Framework 4.8 (Русский),C:\Windows\Installer\1bb96a2.msi
vs_communityx64msi,vs_communityx64msi,vs_communityx64msi,C:\Windows\Installer\1bb9698.msi
Microsoft .NET Targeting Pack - 6.0.7 (x64),Microsoft .NET Targeting Pack - 6.0.7 (x64),Microsoft .NET Targeting Pack - 6.0.7 (x64),C:\Windows\Installer\1c4b1f8.msi
Microsoft.NET.Workload.Emscripten.Manifest,Microsoft.NET.Workload.Emscripten.Manifest,Microsoft.NET.Workload.Emscripten.Manifest,C:\Windows\Installer\1cfeb02.msi
Microsoft .NET Framework 4.8 Targeting Pack,Microsoft .NET Framework 4.8 Targeting Pack,Microsoft .NET Framework 4.8 Targeting Pack,C:\Windows\Installer\1db53b0.msi
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219,Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219,Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219,C:\Windows\Installer\57e7953.msi
vs_minshellsharedmsi,vs_minshellsharedmsi,vs_minshellsharedmsi,C:\Windows\Installer\1bb9666.msi
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219,Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219,Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219,C:\Windows\Installer\57e8ab9.msi
Microsoft .NET Host FX Resolver - 6.0.7 (x64),Microsoft .NET Host FX Resolver - 6.0.7 (x64),Microsoft .NET Host FX Resolver - 6.0.7 (x64),C:\Windows\Installer\1c4b21b.msi
Microsoft.NET.Sdk.iOS.Manifest-6.0.300,Microsoft.NET.Sdk.iOS.Manifest-6.0.300,Microsoft.NET.Sdk.iOS.Manifest-6.0.300,C:\Windows\Installer\1cfeaf3.msi
Microsoft Update Health Tools,Microsoft Update Health Tools,Microsoft Update Health Tools,C:\Windows\Installer\618299b1.msi
Python 3.10.5 Standard Library (64-bit),Python 3.10.5 Standard Library (64-bit),Python 3.10.5 Standard Library (64-bit),C:\Windows\Installer\ade9bd3.msi
Microsoft ASP.NET Core 6.0.7 Targeting Pack (x86),Microsoft ASP.NET Core 6.0.7 Targeting Pack (x86),Microsoft ASP.NET Core 6.0.7 Targeting Pack (x86),C:\Windows\Installer\1c4b1cb.msi
vs_minshellx64msi,vs_minshellx64msi,vs_minshellx64msi,C:\Windows\Installer\1bb966b.msi
IntelliTraceProfilerProxy,IntelliTraceProfilerProxy,IntelliTraceProfilerProxy,C:\Windows\Installer\1c4b1b2.msi
vs_filehandler_x86,vs_filehandler_x86,vs_filehandler_x86,C:\Windows\Installer\1bb9670.msi
vs_CoreEditorFonts,vs_CoreEditorFonts,vs_CoreEditorFonts,C:\Windows\Installer\1bb965c.msi
vs_clickoncebootstrappermsi,vs_clickoncebootstrappermsi,vs_clickoncebootstrappermsi,C:\Windows\Installer\1c4b18f.msi
Microsoft Windows Desktop Targeting Pack - 6.0.7 (x64),Microsoft Windows Desktop Targeting Pack - 6.0.7 (x64),Microsoft Windows Desktop Targeting Pack - 6.0.7 (x64),C:\Windows\Installer\1c4b211.msi
Microsoft .NET Toolset 6.0.302 (x64),Microsoft .NET Toolset 6.0.302 (x64),Microsoft .NET Toolset 6.0.302 (x64),C:\Windows\Installer\1cfeae4.msi
Microsoft .NET AppHost Pack - 6.0.7 (x64_arm),Microsoft .NET AppHost Pack - 6.0.7 (x64_arm),Microsoft .NET AppHost Pack - 6.0.7 (x64_arm),C:\Windows\Installer\1c4b1d5.msi
Microsoft .NET 6.0 Templates 6.0.302 (x64),Microsoft .NET 6.0 Templates 6.0.302 (x64),Microsoft .NET 6.0 Templates 6.0.302 (x64),C:\Windows\Installer\1c4b1fd.msi
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.32.31332,Microsoft Visual C++ 2022 X64 Additional Runtime - 14.32.31332,Microsoft Visual C++ 2022 X64 Additional Runtime - 14.32.31332,C:\Windows\Installer\1c4b18a.msi
Microsoft .NET AppHost Pack - 6.0.7 (x64),Microsoft .NET AppHost Pack - 6.0.7 (x64),Microsoft .NET AppHost Pack - 6.0.7 (x64),C:\Windows\Installer\1c4b1df.msi
Microsoft.NET.Sdk.macOS.Manifest-6.0.300,Microsoft.NET.Sdk.macOS.Manifest-6.0.300,Microsoft.NET.Sdk.macOS.Manifest-6.0.300,C:\Windows\Installer\1cfeb0c.msi
vcpp_crt.redist.clickonce,vcpp_crt.redist.clickonce,vcpp_crt.redist.clickonce,C:\Windows\Installer\1c4b1a8.msi
Пакет нацеливания Microsoft .NET Framework 4.7 (Русский),Пакет нацеливания Microsoft .NET Framework 4.7 (Русский),Пакет нацеливания Microsoft .NET Framework 4.7 (Русский),C:\Windows\Installer\1db53e7.msi
Microsoft .NET Host FX Resolver - 6.0.7 (x86),Microsoft .NET Host FX Resolver - 6.0.7 (x86),Microsoft .NET Host FX Resolver - 6.0.7 (x86),C:\Windows\Installer\1c4b216.msi
Java 8 Update 51 (64-bit),Java 8 Update 51 (64-bit),Java 8 Update 51 (64-bit),C:\Windows\Installer\231928c.msi
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.32.31332,Microsoft Visual C++ 2022 X86 Additional Runtime - 14.32.31332,Microsoft Visual C++ 2022 X86 Additional Runtime - 14.32.31332,C:\Windows\Installer\1c4b17a.msi
Microsoft .NET Framework 4.8 SDK,Microsoft .NET Framework 4.8 SDK,Microsoft .NET Framework 4.8 SDK,C:\Windows\Installer\1bb96a7.msi
Microsoft TestPlatform SDK Local Feed,Microsoft TestPlatform SDK Local Feed,Microsoft TestPlatform SDK Local Feed,C:\Windows\Installer\1cfeb16.msi
Microsoft Visual Studio Setup Configuration,Microsoft Visual Studio Setup Configuration,Microsoft Visual Studio Setup Configuration,C:\Windows\Installer\1bb964d.msi
Microsoft Windows Desktop Runtime - 6.0.7 (x86),Microsoft Windows Desktop Runtime - 6.0.7 (x86),Microsoft Windows Desktop Runtime - 6.0.7 (x86),C:\Windows\Installer\1c4b202.msi
icecap_collectionresourcesx64,icecap_collectionresourcesx64,icecap_collectionresourcesx64,C:\Windows\Installer\1db53ba.msi
Microsoft .NET Runtime - 6.0.7 (x64),Microsoft .NET Runtime - 6.0.7 (x64),Microsoft .NET Runtime - 6.0.7 (x64),C:\Windows\Installer\1c4b1ee.msi
vs_minshellinteropx64msi,vs_minshellinteropx64msi,vs_minshellinteropx64msi,C:\Windows\Installer\1bb9684.msi
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005,Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005,Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005,C:\Windows\Installer\171d6118.msi
vs_clickoncesigntoolmsi,vs_clickoncesigntoolmsi,vs_clickoncesigntoolmsi,C:\Windows\Installer\1c4b1a3.msi
vs_SQLClickOnceBootstrappermsi,vs_SQLClickOnceBootstrappermsi,vs_SQLClickOnceBootstrappermsi,C:\Windows\Installer\1c4b19e.msi
vs_FileTracker_Singleton,vs_FileTracker_Singleton,vs_FileTracker_Singleton,C:\Windows\Installer\1bb967a.msi
Python 3.10.5 pip Bootstrap (64-bit),Python 3.10.5 pip Bootstrap (64-bit),Python 3.10.5 pip Bootstrap (64-bit),C:\Windows\Installer\ade9bec.msi
